native_exec_time,mt1_exec_time,mt2_exec_time,mt1_overhead,mt2_overhead
207840,280626,217991,35.0202,4.88405
114973,146003,122406,26.9889,6.465
119987,149165,123837,24.3176,3.20868
26657,42417,33219,59.1214,24.6164
25224,32832,27579,30.1618,9.33635
27267,32670,28183,19.8152,3.35937
198034,266143,214821,34.3926,8.47683
197783,257915,202069,30.403,2.16702
150933,208167,183680,37.9201,21.6964
273733,355195,280252,29.7597,2.38152
26108,31908,25423,22.2154,-2.62372
25483,32234,26257,26.4922,3.03732
226145,321534,241615,42.1805,6.84074
116431,153306,116260,31.6711,-0.146868
89636,119261,98220,33.0503,9.57651
96974,126642,107140,30.5938,10.4832
301049,377198,292544,25.2946,-2.82512
248742,314191,261157,26.312,4.99112
92408,121348,95732,31.3176,3.59709
67927,99914,69568,47.0903,2.41583
245705,326938,252764,33.0612,2.87296
199814,273636,216884,36.9454,8.54294
130384,168845,134706,29.4983,3.31482
116039,149229,122131,28.6025,5.24996
110406,139469,107709,26.3238,-2.4428
269000,340263,281278,26.4918,4.56431
246625,313623,261046,27.1659,5.84734
93134,112184,91703,20.4544,-1.5365
119042,147165,121563,23.6244,2.11774
32324,42236,33152,30.6645,2.56156
214516,281468,230158,31.2107,7.29176
217313,288546,226935,32.779,4.42771
199316,257973,204732,29.4291,2.71729
279671,344578,275950,23.2083,-1.33049
164769,220018,176998,33.5312,7.42191
233049,308465,241520,32.3606,3.63486
140418,186475,144544,32.7999,2.93837
48471,60225,49987,24.2496,3.12764
219026,297611,245646,35.8793,12.1538
193891,249993,192027,28.9348,-0.961365
103182,139121,103661,34.8307,0.464228
169179,222101,172229,31.2817,1.80282
56457,67771,57363,20.04,1.60476
54489,66960,53442,22.8872,-1.92149
243831,316348,249076,29.7407,2.15108
219871,281207,228890,27.8964,4.10195
122396,163346,126018,33.457,2.95925
121615,157007,125859,29.1017,3.4897
132888,155469,111417,16.9925,-16.1572
272021,371184,270851,36.4542,-0.430114
181410,238492,197934,31.4657,9.10865
83211,104035,84662,25.0255,1.74376
266344,355893,274978,33.6216,3.24167
223185,295500,231959,32.4014,3.93127
206726,293639,209597,42.0426,1.38879
49770,64518,50588,29.6323,1.64356
49160,73304,50404,49.1131,2.53051
89389,125926,101237,40.8742,13.2544
25290,32740,26517,29.4583,4.85172
24912,33872,26406,35.9666,5.99711
242343,330162,250043,36.2375,3.17731
192703,255266,201942,32.466,4.79442
141322,180711,139188,27.8718,-1.51003
76402,101002,84593,32.1981,10.7209
29610,39171,29881,32.2898,0.915231
40622,54060,41880,33.0806,3.09684
44993,58097,43346,29.1245,-3.66057
209471,280726,231129,34.0166,10.3394
